ID_HerramientasQS,NumeroSerie,NumeroReparacion,Tipo,Fabricante,Modelo,Ejecución,Estado
336,09062587,09062587,Destornillador EC,AMT,ECR326Q3DWR300DWA300AZ350,husillo / Spindel,en mantenimiento / Wartung/Rep
3360,300472,300472,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3361,300473,300473,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3362,300474,300474,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3363,300475,300475,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3364,300476,300476,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3365,300477,300477,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,Baja por Dañado / Geschädigt
3366,300478,300478,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3367,300479,300479,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3368,300480,300480,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3369,300481,300481,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
337,09062588,09062588,Destornillador EC,AMT,ECR220DWR200W2SWD200-250,husillo / Spindel,en mantenimiento / Wartung/Rep
3370,300482,300482,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
